电影名字,电影链接,评分,评分人数,导演,主演,年份,国家,类型,一句话评价
饮食男女/飲食男女/EatDrinkManWoman,https://movie.douban.com/subject/1291818/,9.2,663696,导演: 李安 Ang Lee,主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,中国台湾美国,剧情家庭,人生不能像做菜，把所有的料都准备好了才下锅。
搏击俱乐部/FightClub/搏击会(港)/斗阵俱乐部(台),https://movie.douban.com/subject/1292000/,9.0,900671,导演: 大卫·芬奇 David Fincher,主演: 爱德华·诺顿 Edward Norton / 布拉...,1999,美国,剧情动作悬疑惊悚,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
本杰明·巴顿奇事/TheCuriousCaseofBenjaminButton/奇幻逆缘(港)/班杰明的奇幻旅程(台),https://movie.douban.com/subject/1485260/,9.0,1040166,导演: 大卫·芬奇 David Fincher,主演: 凯特·布兰切特 Cate Blanchett / ...,2008,美国,剧情爱情奇幻,在时间之河里感受溺水之苦。
美丽心灵/ABeautifulMind/有你终生美丽(港)/美丽境界(台),https://movie.douban.com/subject/1306029/,9.1,810093,导演: 朗·霍华德 Ron Howard,主演: 罗素·克劳 Russell Crowe / 艾德·哈...,2001,美国,传记剧情,爱是一切逻辑和原由。
穿条纹睡衣的男孩/TheBoyintheStripedPajamas/穿条纹衣服的男孩/穿条纹衣的男孩,https://movie.douban.com/subject/3008247/,9.2,602336,导演: 马克·赫尔曼 Mark Herman,主演: 阿萨·巴特菲尔德 Asa Butterfield ...,2008,英国美国,剧情战争,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
窃听风暴/DasLebenderAnderen/窃听者(港)/他人的生活,https://movie.douban.com/subject/1900841/,9.2,597190,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,,2006,德国,剧情悬疑,别样人生。
情书/LoveLetter/WhenICloseMyEyes/LettersofLove,https://movie.douban.com/subject/1292220/,8.9,1193824,导演: 岩井俊二 Shunji Iwai,主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,日本,剧情爱情,暗恋的极致。
"两杆大烟枪/Lock,StockandTwoSmokingBarrels/够姜四小强(港)/两根枪管(台)",https://movie.douban.com/subject/1293350/,9.1,631917,导演: 盖·里奇 Guy Ritchie,主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...,1998,英国,剧情喜剧犯罪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
音乐之声/TheSoundofMusic/仙乐飘飘处处闻(港)/真善美(台),https://movie.douban.com/subject/1294408/,9.1,639322,导演: 罗伯特·怀斯 Robert Wise,主演: 朱莉·安德鲁斯 Julie Andrews / 克...,1965,美国,剧情传记爱情歌舞,用音乐化解仇恨，让歌声串起美好。
西西里的美丽传说/Malèna/真爱伴我行(台)/玛莲娜,https://movie.douban.com/subject/1292402/,8.9,1031628,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,主演: 莫妮卡·贝鲁奇 Monica ...,2000,意大利美国,剧情战争情色,美丽无罪。
